,sentences_with_emoji,sentiment
3983,@united Holiday of a lifetime to New York ruined because you lost my luggage and have failed to find it since Sunday! #wontflyagainwithyou 😡 😠 😢,negative
3984,@united my golf bag didn't have a top cover + staffers said they couldn't check without a type of cover or wrap. Forced to leave the bag... 😡 😠 😢,negative
3985,@united when will you offer real food in american clubs like the amazing food you offer in Heathrow? 😉 😋 😄,negative
3986,@united once again my bag is lost when I travel united!!!! Please do something 😢 🙏 😞,negative
3987,@united @annricord both! 👍 😄 😉,neutral
3988,@united Stuck on plane for over an hour due to mechanical faults. Any updates please? This happened on way to Newark and now again to LHR... 😡 😠 😢,negative
3989,@united - flight 1114. Unfortunately this isn't an isoLate Flightd incident. I haven't waited less than 20min in years 😕 😢 😞,negative
3990,@united did I mention one bag is an infant car seat &amp; we've been stuck with yr poor replacement on icy mtn roads 😡 😠 😕,negative
3991,"@united this is in ur Hemispheres magazine. I'm open to what will u do to make the ""flight more pleasant."" http://t.co/VrQDpqEPFW 😉 👍 😄",negative
3992,@united hard to believe since your staff @ SFO checked them under someone by the name of #ritacomo who flew to EWR the same day. 😕 😜 😉,negative
3993,"@united it's Late Flight... I'm tired and understandably edgy for trying to catch my flight. I wasn't chipper, but I def was not rude. 😉 😕 😠",negative
3994,"@united rude cust ser agents busy chatting, then yelled bc I took pic. Put me stdby when seat. Diff agent gave me seat 30min Late Flightr. Platinum 😡 😠 😤",negative
3995,"@united I am a frequent user. Congrats u only lost my bags once in 20 years. Problem, it was today and your staff were rude!😢 still no bag! 😡 😠 👏",negative
3996,@united Sivi Stewart at Lax was fantastic tonight helping to find a lost item for us at the airport.  Much thanks! 👍 😄 😊,positive
3997,"@united Yes, though they have not located the bag yet. It was a lovely flight outside of that. 😊 😄 👍",negative
3998,@united Got me home amid snow &amp; Cancelled Flightlations; delivered bag w/o hassle; plus no wait on phone &amp; an upgrade. Thank you! 😡 👍 😠,positive
3999,"@united My wife has been on the phone several times for past 3 days, with no result. 😢 😡 😞",negative
4000,@united so you are saying that customer care does not report to anyone? Their response is humiliating for a company that serves the public. 😡 😠 😕,negative
4001,"@united #unitedairlines so my feedback is for your benefit, not for you to correct your atrocious customer service? Good to know 👍 😉 😊",negative
4002,@united #UnitedAirlines fill out form and never receive response? I expect remedy. We can travel another airline and Cancelled Flight as members w u. 😉 👍 😄,negative
4003,"@united 12/13EWR-LAX UA1151 my seat/armrest broken discover after takeoff. flight full.FA filed report, who to chat with for partial refund? 😡 😠 👍",negative
4004,"@united so you told me to go, knowing what the issue was, only for me to go there and find out that you won’t fix it? 😕 😑 😒",negative
4005,"@united so, I made it all the way to the airport, and they say they won’t fix the handle. I showed you this problem, and you said to go…? 😡 😠 😉",negative
4006,@united This link in your tweet goes to someone's internal email -&gt; http://t.co/ZksX79itdN...... Probably one of your 3rd party IT contracts 👍 😉 😊,neutral
4007,@united then why do you bother responding? Your customer service is THE WORST. Never using you guys again. 😡 😠 🙅,negative
4008,@united 618 was flight out of Houston 😢 😓 😭,neutral
4009,@united free hotel doesn't make up for such poor customer service and disregard 😡 😠 👍,negative
4010,@united it's messed up to refuse to wait 10 min after united is at fault for delay but to leave early is absolutely disgusting. 😡 😷 😠,negative
4011,@united mechanical delay occurred in Houston earlier today re: their flight to ORD 👍 😎 😄,negative
4012,"@united 374 ORD to ROC. Fam came to see me at SNA. I'm a member, so is my dad. He used his miles for them. 😄 😎 😊",neutral
4013,"Cc @DadBoner  #boldflavors “@united: We’re bringing Bourbon St. to 35,000 ft. with bold flavors, fresh ingredients and more dining options"" ☺ 🙌 💓",positive
4014,@united thx for checking in. Never got through via phone. On hold over hour. How long is too long to wait on hold? Ugh. #csfail 😡 😠 😖,negative
4015,@united is there a referral program for the Milageplus explorer card? 👀 😉 😬,neutral
4016,@united how else would I know it was denied? 😕 😂 😳,negative
4017,@united obviously 💁 😉 😏,neutral
4018,"@united You allow shady 3rd party services to sell your tickets and then refuse to help the customer, who's left holding the bag.
#flyunited 😡 😠 😤",negative
4019,@united Hours on the phone...hung up on...all I want is to be on a different flight (same day) that has an open seat. #greatservice 😢 😡 😞,negative
4020,@united which now has maintenance issues with an undetermined amount of time until the mechanics even arrive 😡 😠 😕,negative
4021,@united I sent an email describing my experience. Looking forward to a follow up to hopefully make it right. 👍 😊 😉,neutral
4022,"@united be  ""Chicago's hometown airline"" care about your neighbors #SaveTheDiagonals #FlyQuiet #ORDNoise 😉 😜 👍",positive
4023,@united @annricord $856.81 the cost of one of the round trip tickets. 😬 👍 😅,negative
4024,@united Give Cyndi &amp; Troy each a gold star. ✨ 👍 😉,positive
4025,@united our flight attendant @superben was super helpful in finding a bag we left on a flight today. Excellent customer service. Name fits. 👍 👏 😉,positive
4026,@united how about changing RNO -DEN non-stop In May (9) from 6am to Late Flight morning or early afternoon? 😉 😄 😜,neutral
4027,@united #UnitedAirlines wont wait 10min for fam w 2yr old connecting. flight leaves early instead for airport that is planes last stop today 😡 😠 😢,neutral
4028,"@united I can’t go back to the airport, I’m working, and won’t have time.  Are you telling me there is seriously no other way? 😢 😞 😔",negative
4029,@united instead of Bourbon street how about #quiet #planes #SaveTheDiagonals 😉 😜 👍,neutral
4030,@united 3875 to Denver which we are supposed to be boarding right now but has yet to land 😞 😕 😢,negative
4031,@united I've been doing this for 15 years and I've never had this many issues with any other airline. 😡 😠 😕,negative
4032,@united haha that's fine. Still won't fly @united ever again. Seems like you guys have more problems than anyone else. 😉 😜 😄,negative
4033,@united note: they are traveling w 2yr old. Unreal 😳 💔 😢,negative
4034,@united and that plane was staying overnight at the next airport - ROC. U can make up 10 min in air but instead of waiting u leave EARLY 👍 😡 😉,negative
4035,@united and they were traveling as guests of a mileage plus member using that members miles. Great customer service. 👍 👏 😄,positive
4036,@united mechanical issues causes delay and connecting plane at ORD only needed to wait 10 min for them. Refused and left early instead. Wtf 😡 😠 😤,negative
4037,"@united captain ""we apologize for the delay, the company is looking for an open gate (glance starboard side, see 5 open gates) 👀 😉 🎶",neutral
4038,@united reinstating the kosher meals that were dropped shortly after the merger? 😉 😜 😄,neutral
4039,"@united I'm on one of your 757-300 between JFK and LAX.When r u upgrading planes?Plane has no Screens,lousy seats And that's in UnitedFirst. 👍 😡 😉",negative
4040,@United is it possible to upfare to P a segment where I have a GPU waitlisted? 👀 😉 😜,neutral
4041,"@United Bringing your ""A"" game with premium cabin dining. Nice! https://t.co/zgOQoxjBQY 👍 😉 😎",positive
4042,@united you already have vomit so you are halfway there 😷 😉 😂,negative
4043,@united is amazing how hard is to talk with customer service! !! 🙌 👍 👏,negative
4044,"@united fair enough, but it stinks to be the passenger on the plane that leaves the gate then sits on the tarmac for an hour before takeoff 😷 😖 😕",negative
4045,@united they held the flight for our group of nearly 20 people. 👍 😡 😐,negative
4046,@united you guys suck. You delay flights but can't hold the connectors 10 minutes??? #WorstAirlineEver 😡 😠 😑,negative
4047,@united I Want a Plane dad 😢 😭 😔,neutral
4048,"@united time for a rant...you delayed my flight and still forgot my luggage...then delayed on the Tarmac, moments I love you United 😡 😠 😢",negative
4049,"@united it was an international flight, and we didn't get our new eta until we were in the air. 😢 😞 😕",negative
4050,@united - I think she was having a rough moment w/ a bad passenger from an earlier flight. Things got considerably better. Thanks! 👍 😊 😄,positive
4051,@united - thanks for the rude customer service and 3 hour delay. It really helped me timing wise for my afternoon meetings. Hello @Delta ! 👍 😄 😊,negative
4052,"@united Useless response. I need a functioning wheelchair, not a customer care form to fill out. 😡 😠 😕",negative
4053,"@united awesome. Thx. And thx for replying so damn fast, sure as hell beats 80s cheeze hold music!! 🎶 👍 🎵",positive
4054,"@united What does ""Cabin Functionality"" mean when I'm taking a customer satisfaction survey? 😉 😜 😏",neutral
4055,@united $55 cab ride to dfw from love got me my bag. Reimburse? 😉 👀 😬,negative
4056,@united @gg8929 Unbelievable hypocrisy!! 😡 😠 😤,negative
4057,@united thanks for not getting my BusinessFirst priority tagged bag onto my connecting flight at EWR despite a 2+ hour layover. Nice job 👍 😡 😠,positive
4058,"@united amazing flying over 25,000 miles on #UnitedAirlines &amp; alliance last year; still got jilted out of status! #moneyelsewhere 👍 👏 😉",positive
4059,"@united On top of this, a CSR went ahead and hung up on me after I called United to discuss this. 😡 😠 😑",negative
4060,@united now finally in memphis. Landed 30 minutes ago. Still no bags. Paying for a service that just gets worse... 😡 😠 😞,negative
4061,"@united thanks for a terrible experience at EWR. Customers should be treated as a priority, not as an inconvenience #tryagain 😡 😠 👍",negative
4062,"@united Some 3rd party service known as EZEE flights. A man, who confirmed he was born in India, told me his name was Steve Wilson. 👍 😡 😉",neutral
4063,@united The third wheelchair is broken! http://t.co/tvk0PyxQv5 💔 😡 😢,negative
4064,"@united She met me from customer service at the arrival of flight UA3787 PVD-IAD. Thanks, you guys have really handled this storm! 👍 👏 😄",positive
4065,@united ooh thanks! 😊 😄 ☺,positive
4066,"@united my flight was at 1 pm. Still at the airport gee what service.  Do they care, nope.  Delayed until 7:55. 😡 😠 😑",negative
4067,@united very disappointed in CC. Purchased ticket online w/ voucher and charge full amnt. Would not hold price after refund. Unacceptable 😡 😠 😤,negative
4068,@united exactly it states a secure document is a nexus card. It does not state a passport must always be also presented. Read it 👍 😉 😕,negative
4069,"@united We were told by United to ""carry over/carry back"" for the refund. 👍 😉 😡",neutral
4070,"@united no, I had to leave for work. Would have not been possible. So I would love to have this replaced now 😢 😞 💔",neutral
4071,I feel completely cheated @united. I read your commitment to customer service via website and def did not get service suggested there. 😡 😠 😕,negative
4072,"@united @annricord 0162431184663.
3 of your agents said we would be refunded. Agents said United should never have sold us the ticket. 😡 😢 😠",negative
4073,@united if your air traffic crew could get their shit together no one would notice the rudeness of the ground staff 😡 😠 👍,negative
4074,@united IT-problems with the link? #3thparty 👀 😜 ✨,negative
4075,"@United: I feel very well informed. yes, the flight is indeed delayed. Thank you. http://t.co/FuCHZRZjg5 👍 😊 😄",negative
4076,@united Why do I pay more for Coach Plus to be told preboarding that all overhead bins will be full for me 😡 😠 😢,negative
4077,@united can I get some help changing a ticket.  40 minutes on hold and counting.... 😬 🙏 👍,negative
4078,@united thanks for all the help! Totally appreciate it and you made it super easy too 👍 😊 😄,positive
4079,@united was told by Supervisor that United disconnected their customer support # so there was nobody to address it now. #igiveup 😡 😠 😕,negative
4080,@united Your MileagePlus signup page is broken. 💔 😢 😐,negative
4081,@united $7 for wifi just so I can tell my family I'm gonna be Late Flight cause i had to sit in a grounded plane for the past two hours... 😅 🔫 😑,negative
4082,@united FYI: continuous texts and emails I am getting about the delay while held captive on the tarmac are not that helpful. 😡 😠 😉,negative
4083,"@united so, not only were you Late Flight, you broke my luggage handle. You paying for a new one? http://t.co/nYVV1X3d67 😠 😡 😉",negative
4084,@united: No friendly skies from you today. 5hr+ weather delay in SFO followed by 1hr+ mechanical delay while sitting on plane. #NoFun 😡 😠 😞,negative
4085,@united once again your customer service rep was rude!   I asked a question and in turn got attitude.  Jane was no help.  Disgusted again! 😡 😠 😤,negative
4086,@united can you not see the thread? 👀 💀 😐,negative
4087,@united poor old United: never seem to get the response right :) 👍 😜 😢,negative
4088,@united obviously the staff at EWR - United or otherwise have not seen your ads about - being FRIENDLY and helpful #ewr worst airport 😡 👍 😠,negative
4089,@united also why can't I pre-select seats on SFO-&gt;YYZ flight? I'm a Canadian Flight Booking Problems on http://t.co/aZltJhf7lv. 😢 😡 😞,negative
4090,@united does forelock guarantee the fare only or fare &amp; seats? 😉 😜 😄,neutral
4091,@united thanks! :) 💓 💛 👍,positive
4092,"Hypocrisy RT @united @gg8929 I'm sorry, we're not able to offer a full refund because the exchange rate is not what you were hoping for. ^KP 😢 😡 😠",negative
4093,@united I shouldn't have to spend my own $$$ on a hotel because of a weather delay. The weather being something COMPLETELY OUT OF MY CONTROL 😡 😠 😖,negative
4094,@united  eventually.  You should approach bags like @AlaskaAir  they get it. 😉 👍 😜,negative
4095,@united What if my NYC flight is delayed and I miss my connection to Sacramento from Chicago? 😢 😭 😫,negative
4096,@united said they would give us a refund. 30 days Late Flightr NO refund. 😡 😠 😑,negative
4097,@united how can you not know the weight of our plane after us sitting on the plane for 2.5 hrs? Not convinced your company is safe for flt. 😕 😉 👍,negative
4098,@united we showed up to our flight several hours early. Tried to call &amp; was on hold 15 min b/f call disconnected. 😡 😠 😞,negative
4099,"@united if your policy changed, you must advise at the time of purchase.  Same if you choose to vary it by airport!  We want a FULL refund!! 👍 😉 😜",negative
4100,"@united wanted to, but you Cancelled Flightled my tickets.... They were too special i guess even for united. 😢 💔 😞",negative
4101,@united I'm 0/3 for Flight Booking Problems without major problems. 0% isn't bad!👎👎 👍 😉 😄,negative
4102,@united @el_ingeniero don't check your baggage if you don't have to.  They will lose it! 😉 😜 😠,negative
4103,@United I'm hoping we don't miss our LAX - ITO connection. Not looking forward to being stuck at LAX overnight with our team....AGAIN! 😢 😞 😕,negative
4104,@united well perhaps you could highlight where that is stated.  We travel between Canada &amp; USA on United with only Nexus 😉 😜 😄,negative
4105,"@united how can you not know, after two hours of us sitting on the plane with no bags off loaded, the planes weight?! 😡 😳 😠",negative
4106,@united You make it hard to fly with you. Delayed over an hour and now the plane  is turning around &amp; heading back to the gate. #connection? 😡 😠 😞,negative
4107,@united  Serious firing needs to happen at HNL. They broke the wheelchair you loaned me after you broke mine! http://t.co/bT37KyrByJ 😡 😠 😤,negative
4108,"@united Call customer service and of course they just say ""theres nothing we can do"" and then offer a transfer and disconnect the line. 😡 😠 😑",negative
4109,"@united Now submitted for the third time, please check and confirm receipt. Have taken screen shots in case it disappears again. Thanks 👍 😊 😡",negative
4110,@united if our already rescheduled flight is Cancelled Flightled is our hotel room paid for? 😡 😢 😠,negative
4111,@united Classic 👌 👍 😂,negative
4112,@united Elizabeth at Washington Dulles just hooked me up with a new connecting flight at my gate! I'm super pleased! 😄 👍 😊,positive
4113,@united Thanks! 😊 😄 ☺,positive
4114,"@united Does the economy plus cabin also qualifies as a ""premium"" cabin? 😉 😜 👀",neutral
4115,@united flight UA3364 been sitting on tarmac for 30 mins with no report as to why...any input? 😡 😠 😕,negative
4116,@united A 3rd party service you use to sell your tickets has ripped me off. Excellent service United is offering. 👍 👏 😡,negative
4117,@united no thanks ✋ 🙅 😷,neutral
4118,"@united Yesterday, I'm sorted now. 👍 😉 😄",neutral
4119,"@united thanks for that advice, so helpful. Can't believe you guys actually charge people to ""fly"" united 👍 😉 😄",negative
4120,@united If you have had any issues with  United Airlines PLEASE retweet. Paid for a full fight ticket and was given a standby instead. 👍 😡 😠,negative
4121,@united just tried to log in and was told e-mail log in not currently available 😡 😕 😐,negative
4122,@united @gg8929 so why did you Cancelled Flight tickets for thousands of people when you didn't like the exchange rate? #doublestandards 😡 😠 😕,negative
4123,@united do you have an e-mail address I can write my account to? Might be less likely to disappear 🙈 😬 🙊,neutral
4124,"@united so I wasted 40mins filling in 2 online forms you are telling me you didn't receive, how do I know this won't happen this time? 😡 😠 😢",negative
4125,"@united 877 from amsterdam to ewr, 02.27.2015, 737-300. 👍 😉 😎",neutral
4126,@united stuck here in IAH waiting on flight 253 to Honolulu for 7 hours due to maintenance issues. Could we have gotten a new plane!?!? Fail 😡 😠 😖,negative
4127,@united @UnitedAppeals @gg8929 What kind of hypocrisy is that? Only Cancelled Flightling tickets with bad exchange rate if in your advantage #united 😡 😠 😕,negative
4128,@united No. The entire problem here is that I was never sent anything via email and only given a Flight Booking Problems number over the phone. 😡 😠 😕,negative
4129,@united calling that number was useless. Heading to the airport now to pick up my bags. this whole situation seems like a real joke. 😡 😠 😕,negative
4130,@united They couldn't get me first class on any of their flights so I just rebooked myself. 😅 🔫 😂,negative
4131,@united but the gate agent and club staff got me priority standby for next so might only be minor disaster...#travelingwithsmallkids 🙈 😕 😬,neutral
4132,@united I'll be sending/posting complete details of the circumstances surrounding this matter.  United airlines should be ashamed. 😡 😠 😕,negative
4133,@United Hidden City forces me into crappy seat even though exit row is available on the first leg. Your support cannot fix. :-( 💔 😢 😡,negative
4134,@united JT thanks for your help I’ll complete the form once we are back home 👍 😊 😉,positive
4135,"@united missed it.  Incoming on time, then Sat for 30, then no jetbridge driver...missed a 45min connection from an on time flight... 😡 😠 😞",negative
4136,@united @gg8929 Ladies and gents - United Airlines... 😉 👍 😜,neutral
4137,@united You might be dealing with frustrated passenegers. hope you all have a great day :) thank you very much for an amazing airline :) 💓 💛 ❤,positive
4138,@united Allright! Last question : the power outlets on my flight are available in the premium cabin. Does that include economy plus cabin? 😉 😄 😜,neutral
4139,"@united Well, It's LA and then a 2hr+ car ride to a dark Palm Springs technically. Maybe I'll get bumped to 1st class Den to PHL on Friday:) 😉 😜 😬",neutral
4140,@united yes still need assistance I don't have a flight home due to change in flight u made I miss all connections ! 😢 😞 😣,negative
4141,@united I believe you have to follow me in order for me send you a DM 😉 ☺ 😊,neutral
4142,@united thanks! We would like an apology and a full refund. Please confirm when we will receive. 👍 😊 😉,negative
4143,"@united Hi, can you email me here so i can share the details? Thanks. frank@postsecret.com 😊 😄 ☺",neutral
4144,@united But I got a bad exchange rate so want my money back. Please can you refund without penalty. 😡 😠 😢,negative
4145,"@united My flight UA1159 to Denver for #RMOUG15 has been re-cheduled 5 times.
If I am no show, you'll know why! Ridiculous. 😡 😠 😤",negative
4146,@united you're just using automated  responses and don't have the decency to actually care/respond ✋ 😐 😑,negative
4147,@united JT the issue is with missed connections early gate closings and zero concern from customer service 😡 👍 😠,negative
4148,"@united here I was thinking how I could say so many nice things after getting upgraded, but then you delayed my flight... It's ok! 😡 😢 😠",negative
4149,@united Can you explain how it rewards us elite Premiere 1K members? 👀 😬 😉,neutral
4150,@united for our birthdays my fiancé &amp; I want to travel Late Flight April. You're our fave airline but Frontier has this: http://t.co/uayWrr45as :-/ 💓 💛 😢,neutral
4151,@united I’m resending the confirmation code in a DM 😉 👀 😎,neutral
4152,@united I did DM the details back on 02/14 when this started with phone number to reach me no reply either online or by phone 😡 😕 😢,negative
4153,@United Airlines' CEO Jeff Smisek: Disloyal to Loyal Workers http://t.co/0cevY3P42b via @HuffPostBiz 👍 💯 😜,neutral
4154,"@united The guidelines say 10x9x17, my bag is 20x15.7x8.7, so it's a bit taller than the guidelines. Is that gonna be a problem? 😉 😅 😬",neutral
4155,@united thank you! I wish the lady in Little Rock had told me that in the morning when I asked her 😊 😄 ☺,positive
4156,@united no claim number. Haven't been back to iAd baggage since. Is there a phone I can call to speak to someone? 😕 👀 😐,negative
4157,"@united do you think there Will problems at Newark, NJ on Saturday due to expected snow? 😬 😕 😉",neutral
4158,@united Got it.  I am following the United page. 👍 😉 😄,neutral
4159,"@united Thank you for the speedy response! I figured it may be something of that nature. You guys and your ""fine print,"" haha 😉 👍 😄",positive
4160,@united worst service ever 😈 😡 😠 😤,negative
4161,@united thanks for your attention. I would actually like to make a specific complaint about customer service at DCA. What is my best option? 😡 😠 😕,negative
4162,@united can't believe United can't find someone to just simply check a seat back for a missing passport. Loved United but debating choice 😕 😬 👍,negative
4163,@united I am furious.  You're firm is a disgrace. Despite all our efforts you did zero to protect our daughter. All alone at night # United 😡 😠 😢,negative
4164,@united holy high speed internet batman!  Speeds at United Club at IAD are insanely fast!  Thanks 👍 😄 😉,positive
4165,@united Your website Flight Booking Problems experience is an obnoxious upsell-laden disaster for anyone with half a brain. 😡 😠 😬,negative
4166,@united  @MrAndyEp like 2 weeks after my flight!?!? Creative! 👍 👏 😄,neutral
4167,@united Flt 4487 is having some MAJOR delays bc ground crew was so SLOW. The flight crew has been terrific. Been 2 hours on the ground..😡... 😡 😠 😑,negative
4168,"@united sorry, I hate united. i won't get to see my family until Thursday 😢 😞 😔",negative
4169,@united Thanks for the timely service &amp; great staff getting my wife and me to and from Cancun this past week for our honeymoon. 👍 😉 👏,positive
4170,"@united done just now, thanks. 😊 👍 ☺",positive
4171,@united Currently on standby to Lax then it is a 2 hour ride to Palm Springs. Long day starting at a snowy 3:30 am in philly. 🔫 😬 😴,neutral
4172,"@United Your customer service for Mileage Plus customers is a disgrace. I just spent 45 min on the phone to reset a pin number, with no luck 😡 😠 😞",negative
4173,"@united No, I do not. I was only given a Flight Booking Problems reference number. 😉 😐 ✋",neutral
4174,@united All these changes. Way to stick it to your Premiere 1K loyal customers. Why make things harder for those that loyal to you? 👏 👍 😕,negative
4175,"@united thanks for the offer, but I finally made it to my destination, albeit hours Late Flight. 👍 😊 😄",negative
4176,@United Airlines Cancelled Flights OC FLL #flight today. $700 to switch. No notice no apology. We are done flying #UnitedAirlines. 😡 😠 😢,negative
4177,@united can you send me another confirmation email? 🙏 😁 😊,neutral
4178,@united it would be super if you paid as much attention to actual fliers as you do to credit card holders. 😉 😜 👍,negative
4179,@united I travel a lot and I get it. You're still my fave but EWR to Cleveland w/40 min layover to connect to DC = our best option? Come on. 💖 👍 ❤,negative
4180,"@united 3pm and my bags still not here. not even a courtesy toiletries kit. not the flight experience I was expecting, very disappointed. 😞 😕 😡",negative
4181,@United Airlines Cancelled Flights OC FLL #flight today. $700 to switch. No notice no apology. Done flying #UnitedAirlines. 😡 😠 😢,negative
4182,"@united sorry, wrong link for the bag : http://t.co/pZAl4wtrEZ Thats the one i meant 😉 😬 😜",neutral
4183,"@united flight 86 LAX-IAD, back rows NOT CLEANED prior to boarding. How gross is that to find used tissues in your seat?  Please. 😷 😖 😢",negative
4184,@united thank you! 😊 😊 ☺ 😄,positive
4185,"@united take a lesson from @VirginAmerica , they know how to treat customers! 👍 😉 😜",neutral
4186,@united plus you horrible seating and poor customer service everywhere I've flown. now you take away the mileage program..horrible 😡 😠 😖,negative
4187,@united you'd learn if you listen to your customers...you do want you want...@VirginAmerica asks their customer what they want 😉 👍 😜,negative
4188,@united customer service 👎 👍 😡 😠,negative
4189,@united Priceless. United stranded my daughter at O'Hare. United did zero to keep her safe.....alone on a plastic chair for 9h! # United Air 👍 😄 😜,negative
4190,"@united Hi again, any updates here? 😊 😄 ☺",neutral
4191,@united Could you tell me if this bag would be accepted as a personal item ? Can i bring one carry-on bag plus this? http://t.co/U390cZpLHl 🙏 😬 🙈,neutral
4192,@united 3359 which you finally Cancelled Flightled. 👏 😜 👍,negative
4193,.@united what link? Those are all the email offers u sent me in a year to buy/transfer miles.The last 1 just expired http://t.co/ZZPs5ywVE2 😡 😠 😕,negative
4194,@united thanks finally made it.. Missed meetings but what can I do now? 😄 😊 😕,negative
4195,@united Our flight was originally supposed to leave at 1:40pm &amp; now we won't leave until 5. This is the 2nd time this has happened 😡 😠 😑,negative
4196,"@united Supposedly, they're out for delivery. I'll believe it when I see it. 😉 👀 👍",negative
4197,"@united Thank you. Yes, I was hoping to speak with someone directly, but appreciate the link nonetheless. :) 💓 👍 💛",negative
4198,@united Sure did! Only waited about 15min. Yay! 😄 😊 😁,positive
4199,"@united Hi JH, my experience with United has been entirely disgusting but yes, I'd like assistance in getting compensated for my bag. 👍 😉 😷",negative
4200,@united took this picture on Thursday. #awesome http://t.co/IVGpZSjtkW 👍 😄 👏,positive
4201,@united probably wouldn't be doing it had someone returned my call or email. Case number 8273993 😉 😬 👍,negative
4202,"@united I can't even fit my name on the first two lines, yes... Please do pass on feedback. This is a big downgrade from previous years. 😡 😕 😞",negative
4203,Is expiring the @united offer to buy or transfer #United #MileagePlus miles with discount? Many offers during a year http://t.co/6tz6imqZlG 👍 😄 🙏,positive
4204,"@united no, it was 2 flight Cancelled Flightlations (one due to weather, one mechanical) paid own hotel, bag held in transfer. No voucher/compensation 😡 😠 😞",negative
4205,@united i got email that my reservations got Cancelled Flightled and i will be refunded.  Nothing got refunded as of yet 😢 😞 😡,negative
4206,@united So what do you offer now that my flight was Cancelled Flighted and I'm stranded away from home and work? 😢 😡 😕,negative
4207,@united you are really trying me today. 😠 😡 😑,negative
4208,@united looks like I'm settled in to where I'm going.  Thx. 👍 😊 ☺,positive
4209,@united flt 4567 has had two more updates in the last 3 minutes. 😡 👍 😠,neutral
4210,@united no they were to busy taking to each other and I needed to get to an audition. 😢 😞 😣,negative
4211,@united was never given one 🙅 💁 😉,neutral
4212,@united quick response offering assistance but lack of follow through - not really the service I was expecting 😕 😞 😡,negative
4213,@united Stuck in IAD going on 6 hours waiting for a ferry flight from Nashville that u can't tell when it will arrive?!! Ridiculous!! 😡 😠 😤,negative
4214,"@united flt 4567 no gate agent, no announcements. So unprofessional. Time to go back to @Delta 😡 😠 😢",negative
4215,"@united Thanks, ^KP. Please also mention the Quiche breakfast and Tandoori chicken dinner entrees and accompaniments are truly First Class. 👍 😊 😄",positive
4216,@united flt. 4567 departure time has changed five times in the last 20 minutes. Why don't you figure out a solution and announce once? 😡 😠 😉,negative
4217,@united bags are still in Houston since Friday and still have not been reimbursed the baggage fee. 😕 😡 😐,negative
4218,@united who can tell me where they are? 👀 😉 😏,negative
4219,"@united flight 4567 have already been Cancelled Flightled once, been trying to get home two days. Staff being very unhelpful. 😡 😠 😞",negative
4220,@united each flight is worse than last! flight attendants don't even know whether the plane is equipped with power outlets at the seats! 🙈 😖 😡,negative
4221,@united flight 4567 agent now wandered off. Pilots came out looking for her. Went to charge her personal phone which she'd been txting on 😡 😜 👍,negative
4222,@united waiting for flight 4567 to memphis. Incredibly rude gate agent waited until after departure time to announce delay. (1 of 2) #rude 😡 😠 😤,negative
4223,@united I don't see how I need to spend an extra $100 bc of ur equipment failure. 😐 😕 😑,negative
4224,@united I don't need to make any changes. I reserved my seats when I bought my tickets and there was an error &amp; now there are no comp seats 😡 😠 😢,negative
4225,@united its 2015 and no power outlets at the seats on a 6 hour flight to California? Seriously? This is why airlines are failing!! Pathetic! 😡 😠 😤,negative
4226,@united thanks kp but luckily my transfer has maintenance issues and is still delayed so I didn't miss my transfer... 😊 😉 👍,negative
4227,"@united No, not received any e-mails in either Inbox or junk/spam 😕 😞 😢",neutral
4228,@united - could you please send me a phone # to the refunds department?  We have submitted our claim through email without success. 🙏 👍 😬,negative
4229,"@united I'm not this person, but I've been sitting in Denver for three hours and all I want to do is get on a plane. Please let me go home. 🙏 😭 😢",negative
4230,@united  flight 441 on 2/4 was delayed over three hours because the pilot never showed up! 😡 😠 😤,negative
4231,@united I just need to get to RIC tonight. I've been in EWR for 24hrs now. 😞 😫 😣,negative
4232,@united which is why my next flights to Miami will be on another airline. 😉 😎 😬,negative
4233,@united It is super frustrating that the folks at the United Ticket Counter in Pittsburg aren't honoring their own Media Rate! #unitedfail 😡 😠 😤,negative
4234,@united 45 minutes after arrival and no bags for most people. UA469 from den to ewr. How long should we wait until a ual rep comes here? 😡 😠 😕,negative
4235,@united What is the policy behind changing passengers' seating assignments at the gate? 😕 😡 😠,neutral
4236,@united with Karen and found her unhelpful and rude  called United at the time &amp; told she could board but Karen would not accept 😡 😠 😂,negative
4237,"@united she has crossed 4 prior times with other carriers and no issue. Karen was rude, untrained and unhelpful I also spoke 😡 😠 😕",negative
4238,"@united nexus confirmed that at any crossing via air, car or boat she can travel with only Nexus. 👍 😉 😄",negative
4239,@united 2 employee yelled at her. 3 employee stood with others whispering and pointing at her from behind counter 😂 😳 😅,negative
4240,@united 1 refused boarding with Nexus. nexus confirmed she should not be refused 😡 😠 🙅,negative
4241,"@united on a good note, the 2 employees I encountered @ Newark were fabulous. I was very Late Flight for my connecting flight and they got me on!!! 👍 😄 😊",positive
4242,@united u lost my bag and would not refund my bag fee? Does that make sense to you? And yes I already called cust svc. They said no. 😡 😠 😑,negative
4243,@United yall tried it with this little bitty plane flying out of boston!! I hate little planes!!! 😡 😠 😤,negative
4244,"@united doing a good thing, holding flight for a few for 11 peeps on Late Flight connecting flight. We'll still make destination on time 👍 😉 😊",positive
4245,@united Q: Just purchased ticket to #Hawaii for trip in Late Flight-March. Does this mean we will acquire miles based on price or distance flown? 😬 😉 👍,neutral
4246,@united stay warm - I will be passing through Chicago next week 👍 😉 😎,positive
